Date,Value
2024-01-01,100
2024-01-02,102
2024-01-03,105
2024-01-04,103
2024-01-05,107
2024-01-06,110
2024-01-07,108
2024-01-08,112
2024-01-09,115
2024-01-10,113
2024-01-11,118
2024-01-12,120
2024-01-13,118
2024-01-14,122
2024-01-15,125
2024-01-16,123
2024-01-17,128
2024-01-18,130
2024-01-19,128
2024-01-20,133
2024-01-21,135
2024-01-22,133
2024-01-23,138
2024-01-24,140
2024-01-25,138
2024-01-26,143
2024-01-27,145
2024-01-28,143
2024-01-29,148
2024-01-30,150
2024-01-31,148
2024-02-01,153
2024-02-02,155
2024-02-03,153
2024-02-04,158
2024-02-05,160
2024-02-06,158
2024-02-07,163
2024-02-08,165
2024-02-09,163
2024-02-10,168
2024-02-11,170
2024-02-12,168
2024-02-13,173
2024-02-14,175
2024-02-15,173
2024-02-16,178
2024-02-17,180
2024-02-18,178
2024-02-19,183
2024-02-20,185
2024-02-21,183
2024-02-22,188
2024-02-23,190
2024-02-24,188
2024-02-25,193
2024-02-26,195
2024-02-27,193
2024-02-28,198
2024-02-29,200
2024-03-01,198
2024-03-02,203
2024-03-03,205
2024-03-04,203
2024-03-05,208
2024-03-06,210
2024-03-07,208
2024-03-08,213
2024-03-09,215
2024-03-10,213
2024-03-11,218
2024-03-12,220
2024-03-13,218
2024-03-14,223
2024-03-15,225
2024-03-16,223
2024-03-17,228
2024-03-18,230
2024-03-19,228
2024-03-20,233
2024-03-21,235
2024-03-22,233
2024-03-23,238
2024-03-24,240
2024-03-25,238
2024-03-26,243
2024-03-27,245
2024-03-28,243
2024-03-29,248
2024-03-30,250
2024-03-31,248
2024-04-01,253
2024-04-02,255
2024-04-03,253
2024-04-04,258
2024-04-05,260
2024-04-06,258
2024-04-07,263
2024-04-08,265
2024-04-09,263
2024-04-10,268
2024-04-11,270
2024-04-12,268
2024-04-13,273
2024-04-14,275
2024-04-15,273
2024-04-16,278
2024-04-17,280
2024-04-18,278
2024-04-19,283
2024-04-20,285
